Partnership Title,Target Industry,Lead Applicant Organization,Organization Link,Contact Name,Comprehensive Plan,Plan Link
Aquaculture Training Partnership,Aquaculture,"The Education Exchange, Inc.",http://edexri.org,Cameron Ennis,View,https://prezi.com/coyp0q_njctt/aquaculture-training-partnership
Building Futures,Construction,The Providence Plan,http://www.provplan.org,Andrew Cortes,In Progress,
